sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cb_color,cb_size,cc_color,cc_size,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,l_color,l_size,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,ob_size,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
CB-L-MA,,"Crate Bed",simple,,,base,MA,L,,,,,"South Africa","2014-10-21 19:39:10",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-L-MA",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-l-ma,crate-bed-l-ma.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-XL-BL,,"Crate Bed",simple,,,base,BL,XL,,,,,"South Africa","2014-10-21 19:40:06",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-XL-BL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-xl-bl,crate-bed-xl-bl.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-XL-OL,,"Crate Bed",simple,,,base,OL,XL,,,,,"South Africa","2014-10-21 19:40:13",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-XL-OL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-xl-ol,crate-bed-xl-ol.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-XL-MA,,"Crate Bed",simple,,,base,MA,XL,,,,,"South Africa","2014-10-21 19:40:23",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-XL-MA",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-xl-ma,crate-bed-xl-ma.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-XXL-BL,,"Crate Bed",simple,,,base,BL,XXL,,,,,"South Africa","2014-10-21 19:40:47",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-XXL-BL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-xxl-bl,crate-bed-xxl-bl.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-XXL-OL,,"Crate Bed",simple,,,base,OL,XXL,,,,,"South Africa","2014-10-21 19:40:59",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-XXL-OL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-xxl-ol,crate-bed-xxl-ol.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-XXL-MA,,"Crate Bed",simple,,,base,MA,XXL,,,,,"South Africa","2014-10-21 19:41:05",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-XXL-MA",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-xxl-ma,crate-bed-xxl-ma.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-G-BL,,"Crate Bed",simple,,,base,BL,G,,,,,"South Africa","2014-10-21 19:41:35",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-G-BL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-g-bl,crate-bed-g-bl.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-G-OL,,"Crate Bed",simple,,,base,OL,G,,,,,"South Africa","2014-10-21 19:41:40",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-G-OL",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-g-ol,crate-bed-g-ol.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CB-G-MA,,"Crate Bed",simple,,,base,MA,G,,,,,"South Africa","2014-10-21 19:41:50",,,,,"Crate Bed",,,,0,,,,,,,,,,,,"Use config","Use config","Crate Bed-G-MA",,,,"Product Info Column",,0.0000,0,"Crate Bed",,,,,,1,0,,,"2014-10-25 13:26:58",crate-bed-g-ma,crate-bed-g-ma.html,1,1.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
